Symbol;GeneID;chromosome;genomic_nucleotide_accession.version;start_position_on_the_genomic_accession;end_position_on_the_genomic_accession;orientation;exon_count
AADACP1;201651;3;NC_000003.12;151770456;151784894;plus;3
AADAT;51166;4;NC_000004.12;170060222;170091699;minus;18
AAGAB;79719;15;NC_000015.10;67200675;67255198;minus;13
AAK1;22848;2;NC_000002.12;69457995;69643845;minus;22
AAMDC;28971;11;NC_000011.10;77821114;77901281;plus;11
AAMP;14;2;NC_000002.12;218264127;218270209;minus;10
AANAT;15;17;NC_000017.11;76453351;76470797;plus;8
AAR2;25980;20;NC_000020.11;36236136;36256941;plus;5
AARD;441376;8;NC_000008.11;116938225;116944000;plus;2
AARS;16;16;NC_000016.10;70252295;70289509;minus;21
AARS2;57505;6;NC_000006.12;44297850;44313358;minus;23
AARSD1;80755;17;NC_000017.11;42950526;42964498;minus;12
AARSP1;106480683;4;NC_000004.12;132592084;132592536;plus;0
AASDH;132949;4;NC_000004.12;56337687;56389418;minus;17
AASDHPPT;60496;11;NC_000011.10;106077565;106098692;plus;7
AASS;10157;7;NC_000007.14;122073544;122144290;minus;25
AATBC;284837;21;NC_000021.9;43805758;43812567;minus;2
AATF;26574;17;NC_000017.11;36948875;37056871;plus;12
AATK;9625;17;NC_000017.11;81117295;81166072;minus;21
ABALON;103021294;20;NC_000020.11;31721507;31723409;plus;1
ABAT;18;16;NC_000016.10;8674587;8784575;plus;20
ABCA1;19;9;NC_000009.12;104781002;104928246;minus;58
ABCA10;10349;17;NC_000017.11;69148007;69244815;minus;40
ABCA11P;79963;4;NC_000004.12;425435;474209;minus;3
ABCA12;26154;2;NC_000002.12;214931542;215138591;minus;55
ABCA13;154664;7;NC_000007.14;48171424;48647497;plus;75
ABCA17P;650655;16;NC_000016.10;2340922;2426699;plus;17
ABCA2;20;9;NC_000009.12;137007234;137028922;minus;50
ABCA3;21;16;NC_000016.10;2275878;2340746;minus;33
ABCA4;24;1;NC_000001.11;93992837;94121149;minus;50
ABCA5;23461;17;NC_000017.11;69244435;69327182;minus;39
ABCA6;23460;17;NC_000017.11;69062044;69141927;minus;43
ABCA7;10347;19;NC_000019.10;1040103;1065572;plus;47
ABCA8;10351;17;NC_000017.11;68867285;68955426;minus;41
ABCA9;10350;17;NC_000017.11;68974632;69078978;minus;42
ABCA9-AS1;104355297;17;NC_000017.11;69004714;69018323;plus;4
ABCB1;5243;7;NC_000007.14;87503863;87713323;minus;32
ABCB10;23456;1;NC_000001.11;229516582;229558988;minus;15
ABCB10P1;56476;15;NC_000015.10;23179882;23183659;plus;0
ABCB10P3;728248;15;NC_000015.10;28402865;28405228;plus;0
ABCB10P4;100132289;15;NC_000015.10;28506430;28508793;minus;0
ABCB11;8647;2;NC_000002.12;168915468;169031396;minus;30
ABCB4;5244;7;NC_000007.14;87398988;87476722;minus;31
ABCB5;340273;7;NC_000007.14;20615622;20757014;plus;31
ABCB6;10058;2;NC_000002.12;219209766;219219017;minus;19
ABCB7;22;X;NC_000023.11;75053280;75156340;minus;16
ABCB8;11194;7;NC_000007.14;151028422;151047782;plus;17
ABCB9;23457;12;NC_000012.12;122917324;122975160;minus;19
ABCC1;4363;16;NC_000016.10;15949577;16143074;plus;34
ABCC10;89845;6;NC_000006.12;43427538;43451994;plus;26
ABCC11;85320;16;NC_000016.10;48164842;48249973;minus;40
ABCC12;94160;16;NC_000016.10;48082973;48146770;minus;29
ABCC13;150000;21;NC_000021.9;14273799;14301386;plus;7
ABCC2;1244;10;NC_000010.11;99782598;99853741;plus;34
ABCC3;8714;17;NC_000017.11;50634843;50691704;plus;32
ABCC4;10257;13;NC_000013.11;95019829;95301446;minus;36
ABCC5;10057;3;NC_000003.12;183919934;184018010;minus;36
ABCC5-AS1;100873982;3;NC_000003.12;184006338;184011419;plus;3
ABCC6;368;16;NC_000016.10;16149565;16223617;minus;34
ABCC6P1;653190;16;NC_000016.10;18571248;18598289;plus;10
ABCC6P2;730013;16;NC_000016.10;14822432;14824702;minus;2
ABCC8;6833;11;NC_000011.10;17392885;17476849;minus;38
ABCC9;10060;12;NC_000012.12;21797389;21941863;minus;42
ABCD1;215;X;NC_000023.11;153724851;153744762;plus;11
ABCD1P1;23785;2;NC_000002.12;89763173;89767368;minus;0
ABCD1P2;26983;10;NC_000010.11;38601416;38605609;plus;0
ABCD1P3;26982;16;NC_000016.10;32474823;32475807;minus;0
ABCD1P4;26957;22;NC_000022.11;16387689;16391884;plus;0
ABCD1P5;642762;2;NC_000002.12;91840607;91844011;plus;0
ABCD2;225;12;NC_000012.12;39530965;39651333;minus;13
ABCD3;5825;1;NC_000001.11;94418086;94518663;plus;26
ABCD4;5826;14;NC_000014.9;74285277;74303064;minus;19
ABCE1;6059;4;NC_000004.12;145098004;145129524;plus;18
ABCF1;23;6;NC_000006.12;30571393;30591532;plus;25
ABCF1-DT;107986587;6;NC_000006.12;30563613;30571301;minus;2
ABCF2;10061;7;NC_000007.14;151207837;151227374;minus;17
ABCF2P1;344653;3;NC_000003.12;88317091;88319021;plus;0
ABCF2P2;100422059;7;NC_000007.14;72103172;72104209;plus;0
ABCF3;55324;3;NC_000003.12;184186075;184194012;plus;22
ABCG1;9619;21;NC_000021.9;42199689;42304387;plus;23
ABCG2;9429;4;NC_000004.12;88090264;88231626;minus;21
ABCG4;64137;11;NC_000011.10;119149040;119162666;plus;17
ABCG5;64240;2;NC_000002.12;43806154;43838840;minus;15
ABCG8;64241;2;NC_000002.12;43831942;43880051;plus;14
ABHD1;84696;2;NC_000002.12;27123780;27131114;plus;8
ABHD10;55347;3;NC_000003.12;111978876;111993368;plus;6
ABHD11;83451;7;NC_000007.14;73736094;73738867;minus;7
ABHD11-AS1;171022;7;NC_000007.14;73735069;73736000;plus;4
ABHD12;26090;20;NC_000020.11;25294743;25390982;minus;17
ABHD12B;145447;14;NC_000014.9;50872090;50904970;plus;15
ABHD13;84945;13;NC_000013.11;108218415;108235440;plus;3
ABHD14A;25864;3;NC_000003.12;51975026;51981200;plus;5
ABHD14A-ACY1;100526760;3;NC_000003.12;51975026;51989202;plus;17
ABHD14B;84836;3;NC_000003.12;51968510;51974630;minus;4
ABHD15;116236;17;NC_000017.11;29560661;29567024;minus;2
ABHD16A;7920;6;NC_000006.12;31686949;31703360;minus;21
ABHD16B;140701;20;NC_000020.11;63861213;63862988;plus;1
ABHD17A;81926;19;NC_000019.10;1876976;1885519;minus;7
ABHD17AP1;728917;1;NC_000001.11;148146066;148149788;plus;0
ABHD17AP3;648359;1;NC_000001.11;214605457;214609203;minus;0
ABHD17AP4;729495;22;NC_000022.11;20667597;20671339;minus;0
ABHD17AP5;91219;22;NC_000022.11;22117481;22118005;minus;0
ABHD17AP6;644988;17;NC_000017.11;20840687;20844479;plus;0
ABHD17AP7;100133212;16;NC_000016.10;32726611;32729550;minus;0
ABHD17AP8;647144;16;NC_000016.10;32199889;32202822;plus;0
ABHD17AP9;100132251;16;NC_000016.10;33140868;33144023;plus;0
ABHD17B;51104;9;NC_000009.12;71862452;71911536;minus;8
ABHD17C;58489;15;NC_000015.10;80695311;80755621;plus;3
ABHD18;80167;4;NC_000004.12;127965256;128039711;plus;18
ABHD2;11057;15;NC_000015.10;89088150;89202360;plus;17
ABHD3;171586;18;NC_000018.10;21650897;21704805;minus;12
ABHD4;63874;14;NC_000014.9;22598238;22612864;plus;8
ABHD5;51099;3;NC_000003.12;43690870;43734371;plus;9
ABHD6;57406;3;NC_000003.12;58237502;58294736;plus;10
ABHD8;79575;19;NC_000019.10;17292131;17303473;minus;5
ABI1;10006;10;NC_000010.11;26746596;26861087;minus;15
ABI1P1;326268;14;NC_000014.9;55546559;55550363;plus;0
ABI2;10152;2;NC_000002.12;203325013;203432173;plus;16
ABI3;51225;17;NC_000017.11;49210227;49223225;plus;8
ABI3BP;25890;3;NC_000003.12;100749329;100993508;minus;68
ABL1;25;9;NC_000009.12;130713881;130887675;plus;12
ABL2;27;1;NC_000001.11;179099327;179229693;minus;16
ABLIM1;3983;10;NC_000010.11;114431110;114821643;minus;33
ABLIM2;84448;4;NC_000004.12;7965310;8158832;minus;25
ABLIM3;22885;5;NC_000005.10;149141447;149260439;plus;25
ABO;28;9;NC_000009.12;133255176;133275214;minus;7
ABR;29;17;NC_000017.11;1003518;1229712;minus;36
ABRA;137735;8;NC_000008.11;106759483;106809073;minus;4
ABRACL;58527;6;NC_000006.12;139028682;139043302;plus;4
ABRAXAS1;84142;4;NC_000004.12;83460939;83485178;minus;11
ABRAXAS2;23172;10;NC_000010.11;124801785;124836670;plus;9
ABT1;29777;6;NC_000006.12;26596943;26600050;plus;3
ABT1P1;100420695;4;NC_000004.12;99022122;99023155;minus;0
ABTB1;80325;3;NC_000003.12;127672928;127680926;plus;14
ABTB2;25841;11;NC_000011.10;34150987;34358008;minus;17
ACAA1;30;3;NC_000003.12;38122710;38137242;minus;12
ACAA2;10449;18;NC_000018.10;49783504;49813881;minus;10
ACACA;31;17;NC_000017.11;37084992;37406822;minus;63
ACACB;32;12;NC_000012.12;109112666;109268226;plus;56
ACAD10;80724;12;NC_000012.12;111686053;111757107;plus;22
ACAD11;84129;3;NC_000003.12;132558138;132660131;minus;20
ACAD8;27034;11;NC_000011.10;134253538;134265858;plus;14
ACAD9;28976;3;NC_000003.12;128879490;128913114;plus;18
ACADL;33;2;NC_000002.12;210187990;210225491;minus;12
ACADM;34;1;NC_000001.11;75724347;75763679;plus;13
ACADS;35;12;NC_000012.12;120725738;120740008;plus;11
ACADSB;36;10;NC_000010.11;123008913;123058290;plus;11
ACADVL;37;17;NC_000017.11;7217125;7225267;plus;22
ACAN;176;15;NC_000015.10;88803442;88875354;plus;19
ACAP1;9744;17;NC_000017.11;7336506;7354944;plus;22
ACAP2;23527;3;NC_000003.12;195274736;195443176;minus;29
ACAP3;116983;1;NC_000001.11;1292384;1307925;minus;25
ACAT1;38;11;NC_000011.10;108116705;108148822;plus;17
ACAT2;39;6;NC_000006.12;159761957;159779112;plus;10
ACBD3;64746;1;NC_000001.11;226144679;226186722;minus;8
ACBD3-AS1;107985353;1;NC_000001.11;226148003;226154977;plus;2
ACBD4;79777;17;NC_000017.11;45132600;45144181;plus;14
ACBD5;91452;10;NC_000010.11;27182838;27243542;minus;18
ACBD6;84320;1;NC_000001.11;180269663;180502887;minus;11
ACBD7;414149;10;NC_000010.11;15075475;15088776;minus;4
ACBD7-DCLRE1CP1;108949267;10;NC_000010.11;15015072;15088776;minus;8
ACCS;84680;11;NC_000011.10;44066118;44084237;plus;18
ACCSL;390110;11;NC_000011.10;44047981;44060667;plus;14
ACD;65057;16;NC_000016.10;67657512;67660832;minus;12
ACE;1636;17;NC_000017.11;63477061;63498380;plus;26
ACE2;59272;X;NC_000023.11;15494520;15602069;minus;21
ACE3P;100129123;17;NC_000017.11;63507034;63519827;plus;0
ACER1;125981;19;NC_000019.10;6306142;6360368;minus;8
ACER2;340485;9;NC_000009.12;19408927;19455173;plus;12
ACER3;55331;11;NC_000011.10;76860873;77026797;plus;16
ACHE;43;7;NC_000007.14;100889994;100896133;minus;7
ACIN1;22985;14;NC_000014.9;23058564;23095614;minus;22
ACKR1;2532;1;NC_000001.11;159204013;159206500;plus;2
ACKR2;1238;3;NC_000003.12;42809472;42867283;plus;3
ACKR3;57007;2;NC_000002.12;236537131;236582358;plus;6
ACKR4;51554;3;NC_000003.12;132597237;132602644;plus;2
ACLY;47;17;NC_000017.11;41866916;41930542;minus;30
ACMSD;130013;2;NC_000002.12;134838319;134902906;plus;13
ACNATP;347275;9;NC_000009.12;101334092;101339347;minus;0
ACO1;48;9;NC_000009.12;32384603;32450836;plus;23
ACO2;50;22;NC_000022.11;41468756;41528989;plus;19
ACOD1;730249;13;NC_000013.11;76948559;76958642;plus;5
ACOT1;641371;14;NC_000014.9;73493021;73543799;plus;10
ACOT11;26027;1;NC_000001.11;54548134;54634744;plus;18
ACOT12;134526;5;NC_000005.10;81309045;81394174;minus;18
ACOT13;55856;6;NC_000006.12;24667035;24705069;plus;4
ACOT2;10965;14;NC_000014.9;73567620;73575658;plus;5
ACOT4;122970;14;NC_000014.9;73591706;73595766;plus;3
ACOT6;641372;14;NC_000014.9;73612276;73619929;plus;3
ACOT7;11332;1;NC_000001.11;6264272;6393766;minus;12
ACOT8;10005;20;NC_000020.11;45841721;45857409;minus;7
ACOT9;23597;X;NC_000023.11;23701055;23743290;minus;16
ACOX1;51;17;NC_000017.11;75941507;75979434;minus;15
ACOX2;8309;3;NC_000003.12;58505136;58537202;minus;16
ACOX3;8310;4;NC_000004.12;8366263;8440725;minus;22
ACOXL;55289;2;NC_000002.12;110732539;111120610;plus;33
ACOXL-AS1;400997;2;NC_000002.12;111098341;111115588;minus;4
ACP1;52;2;NC_000002.12;264869;278283;plus;7
ACP2;53;11;NC_000011.10;47239302;47248847;minus;12
ACP4;93650;19;NC_000019.10;50790415;50795224;plus;11
ACP5;54;19;NC_000019.10;11574660;11579008;minus;8
ACP6;51205;1;NC_000001.11;147626182;147670543;minus;15
ACP7;390928;19;NC_000019.10;39083011;39112074;plus;14
ACPP;55;3;NC_000003.12;132317367;132368765;plus;12
ACR;49;22;NC_000022.11;50738224;50745299;plus;5
ACRBP;84519;12;NC_000012.12;6638076;6647414;minus;10
ACRV1;56;11;NC_000011.10;125672334;125680898;minus;5
ACSBG1;23205;15;NC_000015.10;78167468;78234707;minus;20
ACSBG2;81616;19;NC_000019.10;6135633;6193103;plus;17
ACSF2;80221;17;NC_000017.11;50426158;50474845;plus;20
ACSF3;197322;16;NC_000016.10;89093809;89160556;plus;19
ACSL1;2180;4;NC_000004.12;184755595;184826593;minus;28
ACSL3;2181;2;NC_000002.12;222860934;222944651;plus;17
ACSL4;2182;X;NC_000023.11;109641330;109733403;minus;18
ACSL5;51703;10;NC_000010.11;112374158;112428380;plus;23
ACSL6;23305;5;NC_000005.10;131949973;132012068;minus;23
ACSM1;116285;16;NC_000016.10;20623235;20697788;minus;18
ACSM2A;123876;16;NC_000016.10;20451461;20487669;plus;17
ACSM2B;348158;16;NC_000016.10;20536758;20576376;minus;17
ACSM3;6296;16;NC_000016.10;20742440;20797811;plus;19
ACSM4;341392;12;NC_000012.12;7304332;7328373;plus;13
ACSM5;54988;16;NC_000016.10;20409534;20441333;plus;14
ACSM5P1;100421779;16;NC_000016.10;20603919;20607169;minus;0
ACSM6;142827;10;NC_000010.11;95194200;95228929;plus;11
ACSS1;84532;20;NC_000020.11;25006230;25058182;minus;15
ACSS2;55902;20;NC_000020.11;34874942;34927966;plus;22
ACSS3;79611;12;NC_000012.12;81078018;81256759;plus;19
ACTA1;58;1;NC_000001.11;229431245;229434096;minus;7
ACTA2;59;10;NC_000010.11;88935074;88991397;minus;10
ACTA2-AS1;100132116;10;NC_000010.11;88932684;88939974;plus;5
ACTB;60;7;NC_000007.14;5527146;5530709;minus;6
ACTBL2;345651;5;NC_000005.10;57480016;57482809;minus;1
ACTBP1;643309;X;NC_000023.11;46287816;46289206;minus;0
ACTBP10;446207;14;NC_000014.9;18998860;19000587;plus;0
ACTBP11;644220;1;NC_000001.11;223863145;223864932;minus;0
ACTBP12;100462767;1;NC_000001.11;92229002;92229435;minus;0
ACTBP13;389120;3;NC_000003.12;49873345;49877306;minus;0
ACTBP14;389976;10;NC_000010.11;69022778;69023866;plus;0
ACTBP2;62;5;NC_000005.10;77784801;77786597;plus;0
ACTBP3;63;18;NC_000018.10;59693046;59693473;minus;0
ACTBP4;64;5;NC_000005.10;131658440;131660199;minus;0
ACTBP6;66;8;NC_000008.11;84948509;84950268;plus;0
ACTBP7;67;15;NC_000015.10;43988474;43990265;minus;0
ACTBP8;68;6;NC_000006.12;88275295;88277074;minus;0
ACTBP9;69;18;NC_000018.10;62441924;62443715;plus;0
ACTC1;70;15;NC_000015.10;34788096;34795726;minus;7
ACTG1;71;17;NC_000017.11;81509971;81512866;minus;7
ACTG1P1;73;3;NC_000003.12;139493740;139495682;plus;0
ACTG1P10;83;X;NC_000023.11;53141688;53143984;minus;0
ACTG1P11;414754;Y;NC_000024.10;18147810;18149718;plus;0
ACTG1P12;100418921;3;NC_000003.12;12070155;12071560;plus;0
ACTG1P13;100418920;3;NC_000003.12;99215226;99216033;minus;0
ACTG1P14;100418910;9;NC_000009.12;6834408;6835584;plus;0
ACTG1P15;100418951;15;NC_000015.10;34373534;34374577;minus;0
ACTG1P16;100418960;16;NC_000016.10;50057956;50059301;minus;0
ACTG1P17;283693;15;NC_000015.10;82725880;82739780;minus;3
ACTG1P18;100418924;6;NC_000006.12;101430411;101431319;minus;0
ACTG1P19;644160;9;NC_000009.12;100731200;100732362;plus;0
ACTG1P2;74;Y;NC_000024.10;17756197;17758298;minus;0
ACTG1P20;644961;1;NC_000001.11;27323874;27326525;plus;1
ACTG1P21;100131291;1;NC_000001.11;77773868;77774879;minus;0
ACTG1P22;100131953;2;NC_000002.12;57764954;57766053;plus;0
ACTG1P23;442097;3;NC_000003.12;175977486;175978575;minus;0
ACTG1P24;441783;17;NC_000017.11;17242020;17242890;plus;0
ACTG1P3;75;20;NC_000020.11;1160509;1162097;plus;0
ACTG1P4;648740;1;NC_000001.11;103569404;103571391;plus;1
ACTG1P9;82;6;NC_000006.12;46204912;46206561;plus;0
ACTG2;72;2;NC_000002.12;73892966;73919653;plus;9
ACTL10;170487;20;NC_000020.11;33666498;33668525;plus;1
ACTL6A;86;3;NC_000003.12;179562880;179588405;plus;14
ACTL6B;51412;7;NC_000007.14;100643097;100656461;minus;14
ACTL7A;10881;9;NC_000009.12;108862228;108863755;plus;1
ACTL7B;10880;9;NC_000009.12;108854588;108855995;minus;1
ACTL8;81569;1;NC_000001.11;17755313;17827063;plus;4
ACTL9;284382;19;NC_000019.10;8697397;8698830;minus;1
ACTN1;87;14;NC_000014.9;68874123;68979366;minus;24
ACTN1-AS1;161159;14;NC_000014.9;68979682;68987463;plus;4
ACTN2;88;1;NC_000001.11;236686454;236764631;plus;23
ACTN3;89;11;NC_000011.10;66546395;66563329;plus;22
ACTN4;81;19;NC_000019.10;38647616;38730532;plus;23
ACTN4P1;344978;4;NC_000004.12;116598160;116599808;plus;0
ACTN4P2;391026;1;NC_000001.11;37776637;37779538;plus;0
ACTP1;106480335;2;NC_000002.12;108099110;108099492;plus;0
ACTR10;55860;14;NC_000014.9;58200115;58235636;plus;13
ACTR1A;10121;10;NC_000010.11;102479229;102502755;minus;11
ACTR1B;10120;2;NC_000002.12;97655939;97664098;minus;12
ACTR2;10097;2;NC_000002.12;65227695;65271253;plus;10
ACTR3;10096;2;NC_000002.12;113889934;113961554;plus;13
ACTR3-AS1;101060091;2;NC_000002.12;113831183;113890992;minus;5
ACTR3B;57180;7;NC_000007.14;152759749;153070979;plus;22
ACTR3BP1;643050;Y;NC_000024.10;11395873;11397516;plus;0
ACTR3BP2;440888;2;NC_000002.12;91941133;91942470;plus;1
ACTR3BP3;647156;16;NC_000016.10;32378627;32380268;minus;0
ACTR3BP4;777774;4;NC_000004.12;102962129;102963771;plus;0
ACTR3BP5;399746;10;NC_000010.11;38696596;38698241;plus;1
ACTR3BP6;644773;22;NC_000022.11;16486693;16488336;plus;0
ACTR3C;653857;7;NC_000007.14;149881359;150323669;minus;23
ACTR3P1;100288580;14;NC_000014.9;21585289;21586280;minus;0
ACTR3P2;100129013;X;NC_000023.11;68771322;68772578;plus;0
ACTR3P3;100128020;3;NC_000003.12;101163094;101164039;plus;0
ACTR5;79913;20;NC_000020.11;38748454;38772446;plus;9
ACTR6;64431;12;NC_000012.12;100200087;100224424;plus;11
ACTR6P1;100421495;4;NC_000004.12;106836501;106837571;minus;0
ACTR8;93973;3;NC_000003.12;53858992;53882202;minus;14
ACTRT1;139741;X;NC_000023.11;128050962;128052403;minus;1
ACTRT2;140625;1;NC_000001.11;3021482;3022903;plus;1
ACTRT3;84517;3;NC_000003.12;169766921;169769895;minus;2
ACVR1;90;2;NC_000002.12;157736446;157875896;minus;16
ACVR1B;91;12;NC_000012.12;51951667;51997079;plus;12
ACVR1C;130399;2;NC_000002.12;157526767;157628887;minus;10
ACVR2A;92;2;NC_000002.12;147844517;147930827;plus;12
ACVR2B;93;3;NC_000003.12;38454299;38493142;plus;14
ACVR2B-AS1;100128640;3;NC_000003.12;38451027;38454820;minus;2
ACVRL1;94;12;NC_000012.12;51906913;51923361;plus;11
ACY1;95;3;NC_000003.12;51983284;51989202;plus;15
ACY3;91703;11;NC_000011.10;67642551;67650829;minus;9
ACYP1;97;14;NC_000014.9;75053221;75069483;minus;5
ACYP2;98;2;NC_000002.12;53970838;54305300;plus;16
ADA;100;20;NC_000020.11;44619519;44651758;minus;12
ADA2;51816;22;NC_000022.11;17178790;17221854;minus;13
ADAD1;132612;4;NC_000004.12;122378966;122429815;plus;13
ADAD1P1;100422386;3;NC_000003.12;39286734;39287898;plus;0
ADAD1P2;100422407;18;NC_000018.10;50063792;50064486;plus;0
ADAD2;161931;16;NC_000016.10;84191117;84197166;plus;12
ADAL;161823;15;NC_000015.10;43330341;43354555;plus;14
ADAM10;102;15;NC_000015.10;58595204;58749978;minus;17
ADAM11;4185;17;NC_000017.11;44759151;44781846;plus;27
ADAM12;8038;10;NC_000010.11;126012385;126388558;minus;27
ADAM15;8751;1;NC_000001.11;155051272;155062776;plus;24
ADAM17;6868;2;NC_000002.12;9488486;9555820;minus;20
ADAM18;8749;8;NC_000008.11;39584568;39730064;plus;20
ADAM19;8728;5;NC_000005.10;157477304;157575823;minus;24
ADAM1A;8759;12;NC_000012.12;111899063;111901902;plus;1
ADAM1B;100420505;12;NC_000012.12;111927194;111928934;plus;0
ADAM2;2515;8;NC_000008.11;39743735;39838289;minus;21
ADAM20;8748;14;NC_000014.9;70520817;70564742;minus;3
ADAM20P1;317760;14;NC_000014.9;70468876;70483756;minus;2
ADAM20P2;100533671;4;NC_000004.12;175574602;175576193;plus;0
ADAM20P3;644325;4;NC_000004.12;187746134;187748205;minus;0
ADAM21;8747;14;NC_000014.9;70452157;70459905;plus;2
ADAM21P1;145241;14;NC_000014.9;70245753;70247801;minus;1
ADAM22;53616;7;NC_000007.14;87934143;88202889;plus;35
ADAM23;8745;2;NC_000002.12;206443544;206621130;plus;27
ADAM24P;646479;8;NC_000008.11;17469518;17471672;plus;0
ADAM28;10863;8;NC_000008.11;24294040;24359018;plus;28
ADAM29;11086;4;NC_000004.12;174918358;174978180;plus;9
ADAM30;11085;1;NC_000001.11;119893533;119896524;minus;1
ADAM32;203102;8;NC_000008.11;39107529;39284917;plus;27
ADAM33;80332;20;NC_000020.11;3667965;3682690;minus;23
ADAM3A;1587;8;NC_000008.11;39451045;39522989;minus;22
ADAM3B;1596;16;NC_000016.10;49517646;49518585;minus;1
ADAM5;255926;8;NC_000008.11;39314663;39417226;plus;16
ADAM6;8755;14;NC_000014.9;105969729;105972269;minus;2
ADAM7;8756;8;NC_000008.11;24440996;24509565;plus;22
ADAM8;101;10;NC_000010.11;133262416;133276903;minus;24
ADAM9;8754;8;NC_000008.11;38996767;39105261;plus;25
ADAMDEC1;27299;8;NC_000008.11;24384285;24406013;plus;15
ADAMTS1;9510;21;NC_000021.9;26836287;26845409;minus;9
ADAMTS10;81794;19;NC_000019.10;8580240;8610735;minus;26
ADAMTS12;81792;5;NC_000005.10;33523535;33892192;minus;27
ADAMTS13;11093;9;NC_000009.12;133414339;133459403;plus;32
ADAMTS14;140766;10;NC_000010.11;70672506;70762441;plus;25
ADAMTS15;170689;11;NC_000011.10;130448876;130478215;plus;10
ADAMTS16;170690;5;NC_000005.10;5140330;5320304;plus;23
ADAMTS17;170691;15;NC_000015.10;99971438;100342924;minus;32
ADAMTS18;170692;16;NC_000016.10;77282128;77435114;minus;23
ADAMTS19;171019;5;NC_000005.10;129460265;129738683;plus;26
ADAMTS19-AS1;103689846;5;NC_000005.10;129459559;129460689;minus;2
ADAMTS2;9509;5;NC_000005.10;179110851;179345430;minus;23
ADAMTS20;80070;12;NC_000012.12;43352843;43551971;minus;40
ADAMTS3;9508;4;NC_000004.12;72280969;72568799;minus;24
ADAMTS4;9507;1;NC_000001.11;161189729;161202339;minus;9
ADAMTS5;11096;21;NC_000021.9;26917912;26967758;minus;9
ADAMTS6;11174;5;NC_000005.10;65148736;65482663;minus;33
ADAMTS7;11173;15;NC_000015.10;78759203;78811476;minus;25
ADAMTS7P1;390660;15;NC_000015.10;82293283;82334561;plus;24
ADAMTS7P3;400406;15;NC_000015.10;77976009;77993241;plus;0
ADAMTS7P4;642935;15;NC_000015.10;85255366;85270854;minus;0
ADAMTS8;11095;11;NC_000011.10;130404923;130428993;minus;9
ADAMTS9;56999;3;NC_000003.12;64515654;64688000;minus;41
ADAMTS9-AS1;101929335;3;NC_000003.12;64561346;64590084;plus;3
ADAMTS9-AS2;100507098;3;NC_000003.12;64684870;65011468;plus;6
ADAMTSL1;92949;9;NC_000009.12;17906515;18910950;plus;39
