Symbol;GeneID;chromosome;genomic_nucleotide_accession.version;start_position_on_the_genomic_accession;end_position_on_the_genomic_accession;orientation;exon_count
Gm37108;102641523;1;NC_000067.6;6916526;6923642;plus;0
Gm5694;435608;1;NC_000067.6;7035881;7037223;plus;0
Pcmtd1;319263;1;NC_000067.6;7087077;7173628;plus;8
Gm26983;108167612;1;NC_000067.6;7136195;7136811;minus;0
Gm9826;545302;1;NC_000067.6;7177675;7179753;plus;0
Nras-ps2;18178;1;NC_000067.6;7188158;7190142;minus;0
Gm23274;115485783;1;NC_000067.6;7265803;7265932;plus;1
Gm26901;102632124;1;NC_000067.6;7314637;7398096;minus;3
Gm19002;100418102;1;NC_000067.6;7315451;7316462;plus;0
Gm18984;100418076;1;NC_000067.6;7411181;7411996;plus;0
Gm7470;665063;1;NC_000067.6;7597370;7599482;plus;0
Rps2-ps2;665069;1;NC_000067.6;7664051;7665000;plus;0
Gm17903;100416072;1;NC_000067.6;7767622;7768739;minus;0
Gm39589;105243858;1;NC_000067.6;8108629;8122449;minus;4
Sntg1;71096;1;NC_000067.6;8359739;9301657;minus;23
Gm15452;100039474;1;NC_000067.6;8791661;8792229;minus;0
Gm6152;102632599;1;NC_000067.6;8855112;8856334;minus;0
Gm7445;102632504;1;NC_000067.6;8856685;8857164;plus;0
Gm7493;102632382;1;NC_000067.6;8962622;8963880;minus;0
Gm6187;620853;1;NC_000067.6;9396668;9398567;minus;0
Gm30719;102632723;1;NC_000067.6;9437054;9438070;plus;4
Gm18299;100416881;1;NC_000067.6;9439771;9440432;minus;0
Gm7512;665138;1;NC_000067.6;9450508;9452040;plus;0
Gm24765;115487601;1;NC_000067.6;9458670;9458772;plus;1
Gm18300;100416882;1;NC_000067.6;9499359;9501514;minus;0
Rrs1;59014;1;NC_000067.6;9545408;9547455;plus;1
Adhfe1;76187;1;NC_000067.6;9547948;9577970;plus;15
2610203C22Rik;72481;1;NC_000067.6;9560832;9631092;minus;5
Gm6161;620542;1;NC_000067.6;9574536;9575865;plus;0
Vxn;76982;1;NC_000067.6;9601267;9627142;plus;6
LOC110120427;110120427;1;NC_000067.6;9648223;9650965;plus;0
Mybl1;17864;1;NC_000067.6;9667407;9700439;minus;17
Vcpip1;70675;1;NC_000067.6;9718622;9748382;minus;3
1700034P13Rik;73331;1;NC_000067.6;9747648;9771256;plus;4
Gm39590;105243859;1;NC_000067.6;9776236;9791319;plus;9
Gm51615;115487078;1;NC_000067.6;9781862;9782358;minus;0
Sgk3;170755;1;NC_000067.6;9798130;9902570;plus;19
Gm6195;108167613;1;NC_000067.6;9802188;9802553;minus;0
Gm2352;100039643;1;NC_000067.6;9901944;9902558;plus;0
Mcmdc2;240697;1;NC_000067.6;9906157;9943606;plus;15
Snhg6;73824;1;NC_000067.6;9942025;9944118;minus;4
Snord87;266793;1;NC_000067.6;9942470;9942543;minus;1
Tcf24;100039596;1;NC_000067.6;9960163;9967981;minus;3
Ppp1r42;69312;1;NC_000067.6;9968622;10013541;minus;10
LOC115487608;115487608;1;NC_000067.6;10009814;10009917;minus;1
Cops5;26754;1;NC_000067.6;10024600;10038159;minus;8
Cspp1;211660;1;NC_000067.6;10038116;10136771;plus;33
Arfgef1;211673;1;NC_000067.6;10137507;10232670;minus;38
Cpa6;329093;1;NC_000067.6;10295791;10720053;minus;15
Gm15604;100416202;1;NC_000067.6;10554013;10554576;minus;0
Gm25253;115487592;1;NC_000067.6;10555554;10555660;minus;1
Gm15603;102636010;1;NC_000067.6;10694415;10695614;plus;0
Gm5522;433271;1;NC_000067.6;10805281;10806522;plus;0
Gm28659;115487491;1;NC_000067.6;10846096;10869449;plus;0
Prex2;109294;1;NC_000067.6;10993273;11303683;plus;41
Gm24173;115487671;1;NC_000067.6;11134111;11134238;minus;1
A830018L16Rik;320492;1;NC_000067.6;11413615;11975902;plus;16
Gm30898;102632954;1;NC_000067.6;11978363;11991123;plus;3
Gm30974;102633057;1;NC_000067.6;12029084;12061033;minus;4
Gm7560;665262;1;NC_000067.6;12120939;12122032;plus;0
Gm22633;115487708;1;NC_000067.6;12374936;12375042;plus;1
Gm39591;105243860;1;NC_000067.6;12423687;12432474;minus;4
Mir6341;102465961;1;NC_000067.6;12425986;12426106;plus;1
LOC110120424;110120424;1;NC_000067.6;12509176;12511893;plus;0
Gm2383;100039709;1;NC_000067.6;12565560;12566590;plus;0
Gm6216;621353;1;NC_000067.6;12655843;12656744;plus;0
Gm17644;329096;1;NC_000067.6;12667563;12673090;plus;3
Sulf1;240725;1;NC_000067.6;12692197;12861192;plus;24
Slco5a1;240726;1;NC_000067.6;12866549;12992796;minus;11
Gm5250;383490;1;NC_000067.6;13061922;13062537;plus;0
Gm39592;105243861;1;NC_000067.6;13090688;13104959;minus;3
Prdm14;383491;1;NC_000067.6;13113428;13127163;minus;8
Ncoa2;17978;1;NC_000067.6;13139105;13374227;minus;33
Gm23169;115487625;1;NC_000067.6;13334498;13334609;minus;1
Gm51852;115487675;1;NC_000067.6;13376202;13376314;minus;0
Gm39595;105243864;1;NC_000067.6;13392554;13422408;minus;3
Gm7593;665341;1;NC_000067.6;13407010;13407654;minus;0
Gm39600;105243872;1;NC_000067.6;13436514;13436800;plus;0
Tram1;72265;1;NC_000067.6;13564693;13589910;minus;11
Lactb2;212442;1;NC_000067.6;13625893;13660583;minus;7
Xkr9;381246;1;NC_000067.6;13668738;13702230;plus;5
Gm26273;115485793;1;NC_000067.6;13774334;13774464;minus;1
Gm2452;100039843;1;NC_000067.6;13774628;13775938;minus;0
Gm5523;433273;1;NC_000067.6;13785685;13786929;minus;1
Gm31195;102633349;1;NC_000067.6;13846500;13881933;plus;4
Gm19122;100418294;1;NC_000067.6;13916903;13917754;plus;0
Gm39596;105243865;1;NC_000067.6;14042254;14141388;plus;7
Eya1;14048;1;NC_000067.6;14168953;14311035;minus;19
Gm7617;665391;1;NC_000067.6;14550433;14551087;plus;0
Msc;17681;1;NC_000067.6;14753344;14756089;minus;3
Gm9947;105243866;1;NC_000067.6;14755987;14793322;plus;5
Smt3h2-ps4;114607;1;NC_000067.6;14839267;14840273;minus;0
Rpl5-ps1;665407;1;NC_000067.6;14865018;14866019;plus;0
Gm33500;102636435;1;NC_000067.6;14869758;14870038;plus;0
Trpa1;277328;1;NC_000067.6;14872644;14918862;minus;27
Gm26345;115485804;1;NC_000067.6;15019040;15019159;minus;0
Gm5048;269105;1;NC_000067.6;15067030;15067558;plus;0
Gm10566;100039959;1;NC_000067.6;15268604;15269815;minus;0
Kcnb2;98741;1;NC_000067.6;15286925;15723751;plus;4
Gm51415;115485680;1;NC_000067.6;15374637;15455813;plus;1
Gm51616;115487079;1;NC_000067.6;15555433;15567154;minus;4
Gm51617;115487080;1;NC_000067.6;15571225;15617864;minus;4
Gm25227;115485805;1;NC_000067.6;15685935;15686046;minus;0
Gm25168;115485792;1;NC_000067.6;15757832;15757963;plus;1
Gm6060;606528;1;NC_000067.6;15759913;15760289;minus;0
Terf1;21749;1;NC_000067.6;15805546;15844052;plus;11
Sbspon;226866;1;NC_000067.6;15853862;15892722;minus;5
Gm31523;102633776;1;NC_000067.6;15905205;15907764;plus;3
Gm7634;665434;1;NC_000067.6;16053335;16053906;plus;0
4930444P10Rik;75799;1;NC_000067.6;16065974;16093345;minus;7
Rpl7;19989;1;NC_000067.6;16101295;16104433;minus;7
Rdh10;98711;1;NC_000067.6;16105882;16132550;plus;6
Stau2;29819;1;NC_000067.6;16228803;16520332;minus;20
Gm7568;102634042;1;NC_000067.6;16253533;16268346;plus;4
C130013N14Rik;115487081;1;NC_000067.6;16296758;16314734;minus;2
Ube2w;66799;1;NC_000067.6;16540788;16619460;minus;10
Eloc;67923;1;NC_000067.6;16641725;16657428;minus;9
D030040B21Rik;329101;1;NC_000067.6;16657552;16662278;plus;4
Gm7654;665480;1;NC_000067.6;16662385;16663714;minus;0
Tmem70;70397;1;NC_000067.6;16665191;16678275;plus;3
Ly96;17087;1;NC_000067.6;16688456;16709605;plus;5
Gm5828;545306;1;NC_000067.6;16768279;16770138;minus;0
Jph1;57339;1;NC_000067.6;16942104;17097922;minus;9
Gm46085;108167615;1;NC_000067.6;17097833;17100793;plus;3
Gm31982;102634387;1;NC_000067.6;17098573;17124568;minus;5
Gm28783;102634310;1;NC_000067.6;17120597;17128971;plus;2
Gdap1;14545;1;NC_000067.6;17145373;17164271;plus;6
Gm28784;102634541;1;NC_000067.6;17168402;17173109;plus;2
Gm39597;105243867;1;NC_000067.6;17202970;17205577;plus;3
Gm5251;383495;1;NC_000067.6;17394641;17395661;plus;0
Rbm6-ps1;108212;1;NC_000067.6;17397290;17401340;minus;0
Gm6075;606716;1;NC_000067.6;17428839;17429571;minus;0
Gm25166;115485812;1;NC_000067.6;17520001;17520111;plus;0
Pi15;94227;1;NC_000067.6;17601901;17630939;plus;6
Gm28154;102634738;1;NC_000067.6;17615083;17641382;minus;7
Gm16070;102634913;1;NC_000067.6;17676027;17727646;minus;7
Crispld1;83691;1;NC_000067.6;17727029;17767235;plus;17
Gm7690;665564;1;NC_000067.6;17947002;17949647;plus;0
Gm18775;100417711;1;NC_000067.6;17992961;17999624;minus;0
Gm17969;100416210;1;NC_000067.6;17993825;17997483;plus;0
Crisp4;78081;1;NC_000067.6;18114889;18145902;minus;10
Defb44-ps;654454;1;NC_000067.6;18210053;18223564;minus;2
Defb18;654460;1;NC_000067.6;18236402;18237476;minus;2
Defb41;77673;1;NC_000067.6;18250978;18265138;minus;3
Gm17837;100415956;1;NC_000067.6;18262395;18263379;minus;0
Gm5252;383499;1;NC_000067.6;18708428;18709338;plus;0
Gm24075;115485820;1;NC_000067.6;18969758;18969833;minus;0
Gm28343;108167808;1;NC_000067.6;19037296;19037505;plus;0
Gm15825;102635013;1;NC_000067.6;19063300;19104840;minus;4
Tfap2d;226896;1;NC_000067.6;19103022;19168592;plus;10
Gm10075;115487451;1;NC_000067.6;19153310;19154096;minus;0
Tfap2b;21419;1;NC_000067.6;19208908;19238845;plus;10
Gm4849;226901;1;NC_000067.6;19330942;19333675;plus;0
Gm32651;102635266;1;NC_000067.6;19606089;19636734;plus;4
Pkhd1;241035;1;NC_000067.6;20057779;20618082;minus;70
4930486I03Rik;75028;1;NC_000067.6;20356454;20392300;plus;3
Gm15795;115487082;1;NC_000067.6;20444221;20444712;minus;0
Gm24162;115487586;1;NC_000067.6;20444811;20444912;minus;1
Lincmd1;105661730;1;NC_000067.6;20669882;20682958;plus;3
Mir206;387202;1;NC_000067.6;20679010;20679082;plus;1
Mir133b;723817;1;NC_000067.6;20682769;20682887;plus;1
Il17a;16171;1;NC_000067.6;20730905;20734496;plus;3
Il17f;257630;1;NC_000067.6;20777146;20785274;minus;4
Mcm3;17215;1;NC_000067.6;20802966;20820312;minus;17
Gm20587;100417924;1;NC_000067.6;20821331;20822515;plus;0
Gm24723;115485821;1;NC_000067.6;20842535;20842666;minus;1
6720483E21Rik;77741;1;NC_000067.6;20888650;20890473;minus;4
Paqr8;74229;1;NC_000067.6;20890548;20939650;plus;5
Gm24171;115485789;1;NC_000067.6;20915410;20915540;minus;1
Gm51618;115487083;1;NC_000067.6;20925557;20959216;minus;3
Efhc1;71877;1;NC_000067.6;20951553;20990841;plus;11
Tram2;170829;1;NC_000067.6;21001397;21079225;minus;11
Tmem14a;75712;1;NC_000067.6;21166436;21230167;plus;6
Gm32947;102635667;1;NC_000067.6;21189046;21193323;minus;2
Gm28836;102635593;1;NC_000067.6;21207528;21271685;minus;3
Gsta3;14859;1;NC_000067.6;21240565;21265575;plus;9
Gm7094;101056100;1;NC_000067.6;21272308;21273102;plus;0
Gm4956;241041;1;NC_000067.6;21285246;21298312;minus;6
Gm21909;101056161;1;NC_000067.6;21312516;21341388;minus;0
Khdc1a;368204;1;NC_000067.6;21349677;21352199;plus;3
Khdc1c;433278;1;NC_000067.6;21368331;21369743;plus;3
Gm33147;102635938;1;NC_000067.6;21369788;21381308;minus;3
Gm2709;100040319;1;NC_000067.6;21372356;21374170;plus;0
Gm16533;100379214;1;NC_000067.6;21379554;21380419;plus;0
Khdc1b;98582;1;NC_000067.6;21383556;21386384;plus;3
Kcnq5;226922;1;NC_000067.6;21398399;21962650;minus;16
Gm7658;665489;1;NC_000067.6;21511867;21513096;minus;0
Gm5696;435612;1;NC_000067.6;22030053;22030615;minus;0
Rims1;116837;1;NC_000067.6;22285972;22806003;minus;33
Gm7759;665725;1;NC_000067.6;22898387;22905081;plus;3
Gm7761;665731;1;NC_000067.6;22984817;22986554;minus;0
Ppp1r14bl;66755;1;NC_000067.6;23100473;23102253;minus;1
Rn4.5s-ps4;19803;1;NC_000067.6;23117056;23117344;minus;0
Gm30442;102632345;1;NC_000067.6;23123989;23127725;plus;3
Gm29506;102632273;1;NC_000067.6;23228493;23235658;minus;4
Gm24176;115485803;1;NC_000067.6;23245211;23245331;plus;0
Mir30a;387225;1;NC_000067.6;23272269;23272339;plus;1
Mir30c-2;723964;1;NC_000067.6;23291701;23291784;plus;1
Gm20954;100418001;1;NC_000067.6;23345956;23346599;minus;0
Ogfrl1;70155;1;NC_000067.6;23366424;23383219;minus;7
Gm19673;100503399;1;NC_000067.6;23391747;23399959;minus;3
Gm7784;665782;1;NC_000067.6;23479520;23480729;plus;0
Gm28822;105243890;1;NC_000067.6;23574587;23596664;plus;4
B3gat2;280645;1;NC_000067.6;23761926;23847865;plus;4
Smap1;98366;1;NC_000067.6;23844825;23922381;minus;13
Gm26524;105243891;1;NC_000067.6;23977537;23999843;plus;5
Sdhaf4;68002;1;NC_000067.6;23995939;24005640;minus;3
Fam135a;68187;1;NC_000067.6;24010758;24100484;minus;24
Gm30756;102632768;1;NC_000067.6;24071917;24072807;plus;0
Col9a1;12839;1;NC_000067.6;24177589;24252738;plus;40
Col19a1;12823;1;NC_000067.6;24257683;24587922;minus;51
Gm26418;115485770;1;NC_000067.6;24548841;24548977;minus;1
Tubb4b-ps2;665829;1;NC_000067.6;24593931;24595489;minus;0
Gm10222;100142658;1;NC_000067.6;24612404;24612700;minus;0
Gm10925;100503946;1;NC_000067.6;24613971;24614651;minus;0
Lmbrd1;68421;1;NC_000067.6;24676992;24766301;plus;17
Gm9443;669171;1;NC_000067.6;25011941;25012759;plus;0
Gm29414;105243892;1;NC_000067.6;25026578;25027593;minus;3
Adgrb3;210933;1;NC_000067.6;25067476;25834772;minus;31
Gm20172;100504323;1;NC_000067.6;25276404;25277954;minus;1
Gm22260;115487583;1;NC_000067.6;25279445;25279551;minus;1
Gm25294;115487617;1;NC_000067.6;25451071;25451174;plus;1
Gm9884;108167844;1;NC_000067.6;25833490;25837285;plus;2
Gm39614;105243893;1;NC_000067.6;25879168;25892305;plus;3
Gm31076;102633186;1;NC_000067.6;25896970;25903608;minus;3
Gm19071;100418203;1;NC_000067.6;25993020;25994166;minus;0
Gm18443;100417198;1;NC_000067.6;25996604;25997159;minus;0
Gm19123;100418295;1;NC_000067.6;26466236;26466886;plus;0
Gm24064;115485817;1;NC_000067.6;26566833;26566938;plus;0
Gm31136;102633272;1;NC_000067.6;26619658;26775020;plus;11
4931408C20Rik;210940;1;NC_000067.6;26681801;26687460;minus;2
n-R5s209;115487689;1;NC_000067.6;26959103;26959221;minus;0
Gm18179;100416668;1;NC_000067.6;27787873;27788664;minus;0
Gm5524;433281;1;NC_000067.6;27884046;27902187;plus;2
Gm18776;100417712;1;NC_000067.6;27900419;27901072;minus;0
Gm19028;100418140;1;NC_000067.6;27989910;27991781;plus;0
Gm7846;665903;1;NC_000067.6;28580381;28580768;minus;0
Gm597;210962;1;NC_000067.6;28776122;28780252;minus;2
Gm45942;108167331;1;NC_000067.6;28796145;28895588;minus;5
Gm5697;435614;1;NC_000067.6;28801035;28802802;minus;0
Gm6462;623924;1;NC_000067.6;28938035;28938340;plus;0
Gm18033;100416315;1;NC_000067.6;29219672;29220240;plus;0
Mir6342;102465174;1;NC_000067.6;29421488;29421612;plus;1
Gm5525;433283;1;NC_000067.6;29484524;29485934;minus;0
Gm7858;665944;1;NC_000067.6;29929988;29930853;plus;0
Gm31465;102633704;1;NC_000067.6;30121013;30138836;minus;5
Gm31525;102633779;1;NC_000067.6;30171705;30262611;minus;7
Gm31581;102633854;1;NC_000067.6;30502457;30516511;plus;4
Gm39615;105243894;1;NC_000067.6;30633638;30700502;minus;3
Gm46086;108167616;1;NC_000067.6;30642044;30642316;minus;0
LOC115487655;115487655;1;NC_000067.6;30719397;30719540;plus;1
Gm6473;624138;1;NC_000067.6;30769687;30772337;plus;0
Gm2914;100040699;1;NC_000067.6;30790042;30794946;minus;0
Phf3;213109;1;NC_000067.6;30802342;30873922;minus;17
Gm7256;638995;1;NC_000067.6;30873169;30873854;plus;1
Ptp4a1;19243;1;NC_000067.6;30940303;30949877;minus;7
LOC115487084;115487084;1;NC_000067.6;30949396;30951023;plus;1
Gm5698;435615;1;NC_000067.6;30977246;30977968;minus;0
Gm9458;669402;1;NC_000067.6;30986168;30986996;minus;0
Gm5699;435616;1;NC_000067.6;30998186;30998908;minus;0
Gm29669;102634473;1;NC_000067.6;31019188;31096454;minus;4
Gm28644;102634159;1;NC_000067.6;31019328;31044774;plus;5
4931428L18Rik;70988;1;NC_000067.6;31141078;31222656;minus;3
Gm7893;666020;1;NC_000067.6;31164439;31165408;plus;0
Lgsn;266744;1;NC_000067.6;31176281;31204725;plus;5
Dnaaf6;74708;1;NC_000067.6;31222839;31224287;plus;1
Gm26145;115485790;1;NC_000067.6;31259593;31259719;minus;1
Gm4850;226957;1;NC_000067.6;31264847;31268061;plus;2
Gm6489;624262;1;NC_000067.6;31287083;31288051;plus;0
LOC115487662;115487662;1;NC_000067.6;31371842;31371984;minus;1
Eef1a1-ps2;624275;1;NC_000067.6;31559606;31560831;plus;0
Gm19680;100503415;1;NC_000067.6;31615304;31616843;plus;0
Gm23032;115487630;1;NC_000067.6;31656632;31656738;minus;1
Gm7910;666056;1;NC_000067.6;31736307;31737089;plus;0
Gm51754;115487371;1;NC_000067.6;32152029;32154258;plus;2
Khdrbs2;170771;1;NC_000067.6;32172602;32705224;plus;15
Gm25814;115487604;1;NC_000067.6;32213133;32213239;minus;1
Gm46077;108167593;1;NC_000067.6;32250668;32272788;plus;0
Gm9839;408192;1;NC_000067.6;32519563;32520999;minus;1
Gm5415;408191;1;NC_000067.6;32543546;32547293;minus;1
Gm24732;115487635;1;NC_000067.6;32568359;32568421;minus;1
Gm7114;633498;1;NC_000067.6;33100906;33102693;plus;0
Gm4785;213711;1;NC_000067.6;33108910;33109657;minus;0
Gm39616;105243895;1;NC_000067.6;33133243;33176166;minus;3
Gm24901;115487628;1;NC_000067.6;33191993;33192102;plus;1
Gm2987;100418410;1;NC_000067.6;33236945;33237589;plus;0
Gm39617;105243896;1;NC_000067.6;33290823;33354602;minus;3
Gm25792;115487597;1;NC_000067.6;33293676;33293784;plus;1
Gm18799;100417744;1;NC_000067.6;33315680;33316471;minus;0
Gm7933;666108;1;NC_000067.6;33371965;33373778;plus;0
Gm23453;115487581;1;NC_000067.6;33422733;33422838;plus;1
Prim2;19076;1;NC_000067.6;33453808;33669808;minus;20
Gm29228;115487461;1;NC_000067.6;33481402;33482614;plus;0
Gm17813;100302654;1;NC_000067.6;33657689;33658673;plus;0
1700001G17Rik;67503;1;NC_000067.6;33669824;33670712;plus;1
Gm32229;102634710;1;NC_000067.6;33714181;33719846;minus;4
Rab23;19335;1;NC_000067.6;33719896;33742564;plus;9
Bag2;213539;1;NC_000067.6;33745484;33757750;minus;4
Zfp451;98403;1;NC_000067.6;33761541;33815602;minus;18
Gm15455;433287;1;NC_000067.6;33835899;33838914;minus;1
Bend6;320705;1;NC_000067.6;33852052;33907933;minus;8
Gm38471;102634918;1;NC_000067.6;33873086;33874756;minus;2
Dst;13518;1;NC_000067.6;33907888;34308662;plus;113
Gm23792;115487616;1;NC_000067.6;33981410;33981502;minus;0
Mir6896;102466987;1;NC_000067.6;34117359;34117431;plus;1
Gm51742;115487354;1;NC_000067.6;34122639;34135121;minus;3
Gm5266;383629;1;NC_000067.6;34367374;34369003;plus;0
Mir5103;100628580;1;NC_000067.6;34433121;34433199;minus;1
n-TEttc1;102467303;1;NC_000067.6;34434812;34434883;minus;0
Ccdc115;69668;1;NC_000067.6;34436670;34439672;minus;5
Imp4;27993;1;NC_000067.6;34439829;34445747;plus;9
Gm32504;102635078;1;NC_000067.6;34455230;34461035;minus;4
Ptpn18;19253;1;NC_000067.6;34459729;34473784;plus;15
4930568A12Rik;75883;1;NC_000067.6;34477167;34499058;minus;6
Gm32566;102635157;1;NC_000067.6;34484347;34487339;plus;3
Prss39;21755;1;NC_000067.6;34498412;34503062;plus;6
Cfc1;12627;1;NC_000067.6;34535648;34544311;plus;6
Prss40;21756;1;NC_000067.6;34536448;34561004;minus;7
Gm28419;102635016;1;NC_000067.6;34538065;34538562;minus;0
Gm19225;100418459;1;NC_000067.6;34571217;34571942;plus;0
Amer3;211383;1;NC_000067.6;34578907;34590944;plus;4
AA619741;241051;1;NC_000067.6;34633535;34636210;minus;1
Gm38647;102642976;1;NC_000067.6;34657236;34666883;minus;6
Arhgef4;226970;1;NC_000067.6;34677949;34812754;plus;19
Gm32920;102635632;1;NC_000067.6;34681741;34689020;minus;4
Gm51813;115487468;1;NC_000067.6;34740093;34741586;plus;0
Gm32790;102635458;1;NC_000067.6;34748272;34792553;minus;4
Fam168b;214469;1;NC_000067.6;34813218;34843050;minus;8
Plekhb2;226971;1;NC_000067.6;34849959;34879585;plus;10
Gm19430;100502882;1;NC_000067.6;34879940;34930643;plus;0
Gm8009;666261;1;NC_000067.6;34970064;34970761;plus;0
Gm25096;115485778;1;NC_000067.6;35178956;35179084;minus;1
Gm25634;115487610;1;NC_000067.6;35761602;35761706;plus;1
1110002O04Rik;68483;1;NC_000067.6;35869948;35881165;plus;3
Gm33176;102635977;1;NC_000067.6;35942013;35955016;plus;3
Gm8022;666283;1;NC_000067.6;35958935;35959816;plus;0
Gm39622;105243901;1;NC_000067.6;35959999;35965098;plus;3
Gm33222;102636039;1;NC_000067.6;36001939;36011165;minus;3
Gm39623;105243902;1;NC_000067.6;36016795;36021488;plus;3
Gm39624;105243903;1;NC_000067.6;36058727;36066243;minus;3
Hs6st1;50785;1;NC_000067.6;36068400;36106446;plus;2
Gm33280;102636118;1;NC_000067.6;36131985;36137221;plus;3
Uggt1;320011;1;NC_000067.6;36140028;36244320;minus;41
Mir6897;102465540;1;NC_000067.6;36144252;36144313;minus;1
Gm18750;100417669;1;NC_000067.6;36177669;36179017;minus;0
Gm39625;105243904;1;NC_000067.6;36244309;36250542;plus;2
Neurl3;214854;1;NC_000067.6;36264602;36274674;minus;7
Arid5a;214855;1;NC_000067.6;36307733;36324037;plus;8
Kansl3;226976;1;NC_000067.6;36335730;36369193;minus;23
Mir6898;102465541;1;NC_000067.6;36348682;36348758;minus;1
Fer1l5;100534273;1;NC_000067.6;36372183;36422110;plus;47
Lman2l;214895;1;NC_000067.6;36418900;36445271;minus;9
Gm33401;102636293;1;NC_000067.6;36461978;36462873;plus;3
Gm33454;102636368;1;NC_000067.6;36463212;36471694;minus;3
Cnnm4;94220;1;NC_000067.6;36471597;36508776;plus;7
Cnnm3;94218;1;NC_000067.6;36511867;36528237;plus;9
Ankrd23;78321;1;NC_000067.6;36530193;36536556;minus;10
Ankrd39;109346;1;NC_000067.6;36538171;36547252;minus;4
Sema4c;20353;1;NC_000067.6;36548639;36560699;minus;18
Fam178b;381337;1;NC_000067.6;36562696;36683190;minus;21
Cox5b;12859;1;NC_000067.6;36691487;36693388;plus;4
Actr1b;226977;1;NC_000067.6;36698114;36710017;minus;12
Gm33533;102636476;1;NC_000067.6;36712848;36744792;minus;8
4933424G06Rik;71166;1;NC_000067.6;36714538;36757960;plus;9
Zap70;22637;1;NC_000067.6;36761798;36782821;plus;16
Gm18828;100417791;1;NC_000067.6;36765018;36765883;minus;0
Tmem131;56030;1;NC_000067.6;36792189;36939614;minus;42
Rpl12-ps1;241053;1;NC_000067.6;36957886;36958516;minus;0
n-R5s210;115487663;1;NC_000067.6;37005439;37005557;plus;0
Vwa3b;70853;1;NC_000067.6;37029158;37187608;plus;34
Gm39626;105243906;1;NC_000067.6;37042567;37046351;minus;3
Gm37020;105243905;1;NC_000067.6;37132273;37150096;minus;3
Cnga3;12790;1;NC_000067.6;37218241;37263384;plus;8
Inpp4a;269180;1;NC_000067.6;37299827;37410740;plus;27
4930439A04Rik;78119;1;NC_000067.6;37314437;37334232;minus;6
Coa5;76178;1;NC_000067.6;37417085;37430103;minus;3
Unc50;67387;1;NC_000067.6;37430139;37438987;plus;6
Mgat4a;269181;1;NC_000067.6;37439340;37541060;minus;17
4930594C11Rik;77633;1;NC_000067.6;37485851;37488605;minus;1
Gm39627;105243907;1;NC_000067.6;37499037;37503560;minus;2
Cracdl;72097;1;NC_000067.6;37611676;37720089;minus;13
